v_x,v_y,omega,delta
1.514111757278442383e+00,1.978167891502380371e-01,-1.179080963134765625e+00,2.597795128822326660e-01
1.510482668876647949e+00,1.998875141143798828e-01,-1.310519933700561523e+00,2.617338001728057861e-01
1.518274188041687012e+00,2.026472985744476318e-01,-1.321777343750000000e+00,2.639924883842468262e-01
1.521984338760375977e+00,2.040110379457473755e-01,-1.125946044921875000e+00,2.661072611808776855e-01
1.518259525299072266e+00,2.057469785213470459e-01,-1.156672477722167969e+00,2.682732939720153809e-01
1.516979336738586426e+00,2.072684764862060547e-01,-1.047731280326843262e+00,2.707439661026000977e-01
1.519182085990905762e+00,2.104696631431579590e-01,-1.274429678916931152e+00,2.731757164001464844e-01
1.526946783065795898e+00,2.132200002670288086e-01,-1.309555053710937500e+00,2.754237055778503418e-01
1.533581495285034180e+00,2.137026041746139526e-01,-1.165992021560668945e+00,2.777666151523590088e-01
1.529217720031738281e+00,2.160654366016387939e-01,-1.079284548759460449e+00,2.804342806339263916e-01
1.527897834777832031e+00,2.188270986080169678e-01,-1.078892350196838379e+00,2.830050289630889893e-01
1.527463078498840332e+00,2.210233360528945923e-01,-1.115122318267822266e+00,2.852569520473480225e-01
1.532801032066345215e+00,2.216580063104629517e-01,-1.137725949287414551e+00,2.875745296478271484e-01
1.533729195594787598e+00,2.253624498844146729e-01,-1.091274023056030273e+00,2.903717458248138428e-01
1.544185280799865723e+00,2.235242575407028198e-01,-1.133323192596435547e+00,2.923118472099304199e-01
1.561727643013000488e+00,2.352301925420761108e-01,-9.090466499328613281e-01,2.948214113712310791e-01
1.533920288085937500e+00,2.066871225833892822e-01,-1.115453839302062988e+00,2.647360563278198242e-01
1.538874864578247070e+00,2.081461995840072632e-01,-1.074118375778198242e+00,2.658592462539672852e-01
1.540863037109375000e+00,2.108557224273681641e-01,-1.109695434570312500e+00,2.691701650619506836e-01
1.538896203041076660e+00,2.135162800550460815e-01,-9.693831205368041992e-01,2.731068134307861328e-01
1.540268182754516602e+00,2.165133953094482422e-01,-1.003035902976989746e+00,2.765690386295318604e-01
1.542580842971801758e+00,2.195217311382293701e-01,-9.846499562263488770e-01,2.801930606365203857e-01
1.539038419723510742e+00,2.220894247293472290e-01,-1.014901638031005859e+00,2.838655710220336914e-01
1.550823330879211426e+00,2.257119119167327881e-01,-1.114151597023010254e+00,2.877874672412872314e-01
1.552644371986389160e+00,2.297673970460891724e-01,-1.031897664070129395e+00,2.911697626113891602e-01
1.557472705841064453e+00,2.315922677516937256e-01,-1.066480517387390137e+00,2.940537929534912109e-01
1.551726102828979492e+00,2.342643737792968750e-01,-9.573023319244384766e-01,2.972746491432189941e-01
1.550128817558288574e+00,2.362435460090637207e-01,-9.152264595031738281e-01,3.001875281333923340e-01
1.549341440200805664e+00,2.384858727455139160e-01,-8.762056827545166016e-01,3.026494085788726807e-01
1.551026940345764160e+00,2.410896867513656616e-01,-9.913164377212524414e-01,3.043907880783081055e-01
1.555018663406372070e+00,2.436999529600143433e-01,-9.789612889289855957e-01,3.057936429977416992e-01
1.551447987556457520e+00,2.452799677848815918e-01,-8.245674967765808105e-01,3.067689836025238037e-01
1.549268364906311035e+00,2.477869987487792969e-01,-9.217770695686340332e-01,3.074717819690704346e-01
1.526180028915405273e+00,1.227072775363922119e-01,-8.516594767570495605e-01,1.523192822933197021e-01
1.529763102531433105e+00,1.187922656536102295e-01,-8.890962600708007812e-01,1.501210927963256836e-01
1.547236919403076172e+00,1.203662380576133728e-01,-1.014009952545166016e+00,1.477632373571395874e-01
1.520146131515502930e+00,9.572587907314300537e-02,-1.035140275955200195e+00,1.166458949446678162e-01
1.515454173088073730e+00,9.007319062948226929e-02,-1.017796993255615234e+00,1.105785295367240906e-01
1.514901995658874512e+00,8.750070631504058838e-02,-1.004393100738525391e+00,1.073313802480697632e-01
1.513757228851318359e+00,8.418058604001998901e-02,-9.056818485260009766e-01,1.043221578001976013e-01
1.511574625968933105e+00,8.203287422657012939e-02,-1.039754629135131836e+00,1.009512245655059814e-01
1.510498642921447754e+00,7.873035222291946411e-02,-8.517983555793762207e-01,9.777656942605972290e-02
1.509483218193054199e+00,7.504928857088088989e-02,-8.952823281288146973e-01,9.237436950206756592e-02
1.503610014915466309e+00,7.177515327930450439e-02,-8.724182248115539551e-01,8.886706084012985229e-02
1.502425074577331543e+00,6.921293586492538452e-02,-8.782066106796264648e-01,8.498937636613845825e-02
1.499329328536987305e+00,6.699817627668380737e-02,-1.022371053695678711e+00,8.147288858890533447e-02
1.496426105499267578e+00,6.440768390893936157e-02,-1.053957223892211914e+00,7.817112654447555542e-02
1.493513226509094238e+00,6.012751162052154541e-02,-8.866242170333862305e-01,7.251466065645217896e-02
1.499713897705078125e+00,5.768513306975364685e-02,-9.686482548713684082e-01,6.858308613300323486e-02
1.492297768592834473e+00,5.569417774677276611e-02,-9.885419607162475586e-01,6.525510549545288086e-02
1.492273926734924316e+00,5.371726676821708679e-02,-9.380655288696289062e-01,6.157996132969856262e-02
1.496957778930664062e+00,4.886721074581146240e-02,-8.402876257896423340e-01,5.495098978281021118e-02
1.499057054519653320e+00,4.594368487596511841e-02,-8.557304739952087402e-01,5.098590627312660217e-02
1.501049399375915527e+00,4.342231899499893188e-02,-7.422063350677490234e-01,4.697006568312644958e-02
1.500358581542968750e+00,4.137408733367919922e-02,-8.612154126167297363e-01,4.286621510982513428e-02
1.518315672874450684e+00,3.464293479919433594e-02,-9.092416763305664062e-01,3.556042537093162537e-02
1.499056458473205566e+00,4.699410125613212585e-02,-9.339556694030761719e-01,5.402749404311180115e-02
1.497615933418273926e+00,4.446328803896903992e-02,-8.703982234001159668e-01,5.008187890052795410e-02
1.501309752464294434e+00,4.174842685461044312e-02,-1.007939219474792480e+00,4.729039594531059265e-02
1.494010925292968750e+00,3.929172828793525696e-02,-1.088070869445800781e+00,4.169291630387306213e-02
1.490337729454040527e+00,3.591249138116836548e-02,-9.530627131462097168e-01,3.927122801542282104e-02
1.493032336235046387e+00,3.283407166600227356e-02,-9.552704095840454102e-01,3.632774576544761658e-02
1.490720152854919434e+00,2.982136048376560211e-02,-9.911880493164062500e-01,3.023876436054706573e-02
1.487752199172973633e+00,3.056476823985576630e-02,-1.035614371299743652e+00,2.767935208976268768e-02
1.487833023071289062e+00,2.745447121560573578e-02,-1.024636507034301758e+00,2.490275725722312927e-02
1.491297841072082520e+00,2.077150158584117889e-02,-9.371933937072753906e-01,1.851660199463367462e-02
1.490732312202453613e+00,1.985751278698444366e-02,-9.298247098922729492e-01,1.572338305413722992e-02
1.492326974868774414e+00,2.030778490006923676e-02,-1.074112176895141602e+00,1.282726693898439407e-02
1.493276119232177734e+00,1.429557334631681442e-02,-9.458060264587402344e-01,6.785311736166477203e-03
1.497188568115234375e+00,1.215009111911058426e-02,-9.632462859153747559e-01,4.134500399231910706e-03
1.491852045059204102e+00,1.303019467741250992e-02,-9.856320619583129883e-01,1.357613713480532169e-03
1.496502876281738281e+00,9.970395825803279877e-03,-8.884839415550231934e-01,-1.610515057109296322e-03
1.500380635261535645e+00,4.137984011322259903e-03,-1.079066991806030273e+00,-8.325364440679550171e-03
1.489781379699707031e+00,4.218483343720436096e-03,-1.003578662872314453e+00,-1.099168788641691208e-02
1.489012002944946289e+00,5.137584637850522995e-03,-9.911854863166809082e-01,-1.397260185331106186e-02
1.507632136344909668e+00,7.414261344820261002e-03,-9.438924789428710938e-01,-2.104141190648078918e-02
1.505074143409729004e+00,4.558766633272171021e-02,-1.017757534980773926e+00,5.640365928411483765e-02
1.511803627014160156e+00,5.008718743920326233e-02,-8.708455562591552734e-01,6.175545603036880493e-02
1.513901829719543457e+00,4.863471910357475281e-02,-1.027935862541198730e+00,5.877684801816940308e-02
1.504406213760375977e+00,4.961637780070304871e-02,-9.091889262199401855e-01,5.915774405002593994e-02
1.511193871498107910e+00,4.895969107747077942e-02,-9.113861322402954102e-01,5.886941775679588318e-02
1.513745903968811035e+00,4.864139482378959656e-02,-9.315824508666992188e-01,5.890981107950210571e-02
1.518162369728088379e+00,4.883445054292678833e-02,-1.035890460014343262e+00,5.908409878611564636e-02
1.515691399574279785e+00,4.943251982331275940e-02,-9.945598840713500977e-01,5.988987535238265991e-02
1.519621968269348145e+00,4.761967808008193970e-02,-1.065779089927673340e+00,5.650037527084350586e-02
1.517301082611083984e+00,4.800560325384140015e-02,-8.981649279594421387e-01,5.732645094394683838e-02
1.518657803535461426e+00,4.920842126011848450e-02,-1.062486529350280762e+00,5.736821517348289490e-02
1.522200942039489746e+00,4.810997471213340759e-02,-1.009535312652587891e+00,5.737086012959480286e-02
1.521355271339416504e+00,4.887707903981208801e-02,-9.686294794082641602e-01,5.772643536329269409e-02
1.522003531455993652e+00,4.823157936334609985e-02,-9.105646014213562012e-01,5.756505206227302551e-02
1.525684356689453125e+00,4.777814447879791260e-02,-9.758791923522949219e-01,5.697658285498619080e-02
1.518276214599609375e+00,4.823684319853782654e-02,-8.957074284553527832e-01,5.675945058465003967e-02
1.519522428512573242e+00,4.816244915127754211e-02,-8.666639924049377441e-01,5.599669367074966431e-02
1.523720860481262207e+00,4.437737539410591125e-02,-9.111528396606445312e-01,5.150983110070228577e-02
1.524888038635253906e+00,4.338970407843589783e-02,-8.936765789985656738e-01,5.066600441932678223e-02
1.535919547080993652e+00,4.380627721548080444e-02,-8.277727961540222168e-01,4.989891871809959412e-02
1.534870982170104980e+00,9.563738852739334106e-02,-7.843847870826721191e-01,1.281187832355499268e-01
1.535307168960571289e+00,1.006172522902488708e-01,-8.937641978263854980e-01,1.339973658323287964e-01
1.535174965858459473e+00,1.017850786447525024e-01,-8.268389701843261719e-01,1.356747299432754517e-01
1.534878492355346680e+00,1.027676612138748169e-01,-8.047146797180175781e-01,1.367299258708953857e-01
