time,timestamp_ns,target_id,dt,measurement_used,measurement_source,measurement_confidence,measurement_age_s,measurement_distance,measurement_relative_velocity,v2v_fallback_distance,v2v_fallback_relative_velocity,distance_error_vs_v2v,relative_velocity_error_vs_v2v,host_velocity_input,target_acceleration_input,delta_hat,delta_dot_hat,delta_ddot_hat,f_c_hat,w_0,w_1,w_2,w_3,host_state_0,host_state_1,host_state_2,host_state_3,host_state_4,target_state_0,target_state_1,target_state_2,target_state_3,target_state_4,gain_K_0_0,gain_K_0_1,gain_K_1_0,gain_K_1_1,gain_K_2_0,gain_K_2_1,gain_K_3_0,gain_K_3_1,gain_L_0_0,gain_L_0_1,gain_L_1_0,gain_L_1_1,gain_L_2_0,gain_L_2_1,gain_L_3_0,gain_L_3_1,gain_N_0_0,gain_N_0_1,gain_N_0_2,gain_N_0_3,gain_N_1_0,gain_N_1_1,gain_N_1_2,gain_N_1_3,gain_N_2_0,gain_N_2_1,gain_N_2_2,gain_N_2_3,gain_N_3_0,gain_N_3_1,gain_N_3_2,gain_N_3_3
49.0503162,1.7767013747165128e+18,0.0,0.010676860809326172,1,yolo_car_dist,0.8163366718292236,0.021377536,0.6199999988079071,0.0,0.5148337625117707,0.0665669706494989,0.10516623629613642,-0.0665669706494989,0.17030756528994484,1.0573586625009763,0.619984498807937,0.0015499224970201453,1.5499999969192935e-05,-2.5234066932202075,0.30999999862899236,-0.001549922504769347,0.3100000001789163,-5.847131055912474,-1.4629078445919157,0.4825055087506084,-2.250121937686897,0.17030756528994484,-0.3804168420887484,-1.7199235657320016,0.036415022292011164,-1.060600847560601,0.23687453593944374,1.0573586625009763,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
49.0645898,1.7767013747307863e+18,0.0,0.010668516159057617,1,yolo_car_dist,0.8163366718292236,0.035651072,0.6199999988079071,0.0,0.5398202189489919,0.0697375681195152,0.08017977985891522,-0.0697375681195152,0.1684477628322016,1.0598474269009397,0.619984498807937,0.0015499224970201455,1.5499999969192935e-05,-2.5258685539951826,0.30999999862899236,-0.001549922504769347,0.3100000001789163,-5.847013904964056,-1.4628958053422392,0.4825205900080278,-2.2511457186086954,0.1684477628322016,-0.41417648238218663,-1.6943479272204234,-0.005163512730849288,-0.9895788889650499,0.2381853309517168,1.0598474269009397,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
49.0716707,1.7767013747378673e+18,0.0,0.01067662239074707,1,yolo_car_dist,0.8163366718292236,0.042732032,0.6199999988079071,0.0,0.5398353471370013,0.07183442322503153,0.0801646516709058,-0.07183442322503153,0.16635090772668526,1.0598474269009397,0.619984498807937,0.0015499224970201455,1.5499999969192935e-05,-2.525751403046765,0.30999999862899236,-0.001549922504769347,0.3100000001789163,-5.848886097022553,-1.462886644231855,0.4825329876623897,-2.2509837223084617,0.16635090772668526,-0.44476910116709145,-1.6943479272204234,-0.005163512730849288,-0.9895788889650499,0.2381853309517168,1.0598474269009397,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
49.0823584,1.776701374748555e+18,0.0,0.010670661926269531,1,yolo_car_dist,0.8163366718292236,0.053419776,0.6199999988079071,0.0,0.5398496125864597,0.07388746257514933,0.08015038622144743,-0.07388746257514933,0.16429786837656746,1.0598474269009397,0.619984498807937,0.0015499224970201455,1.5499999969192935e-05,-2.5276235951052617,0.30999999862899236,-0.001549922504769347,0.3100000001789163,-5.8507191678708725,-1.4628775945343062,0.4825444832010699,-2.251693188863978,0.16429786837656746,-0.47057589937061045,-1.6943479272204234,-0.005163512730849288,-0.9895788889650499,0.2381853309517168,1.0598474269009397,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
49.092548,1.7767013747587446e+18,0.0,0.010198831558227539,1,yolo_car_dist,0.8163366718292236,0.063609344,0.6199999988079071,0.0,0.5399108102706988,0.08098197363239312,0.08008918853720837,-0.08098197363239312,0.15720335731932367,1.0598474269009397,0.619984498807937,0.0015499224970201455,1.5499999969192935e-05,-2.5294566659535813,0.30999999862899236,-0.001549922504769347,0.3100000001789163,-5.8570535527434116,-1.4628384688092684,0.48259365401643295,-2.252947217974672,0.15720335731932367,-0.4907290284591138,-1.6943479272204234,-0.005163512730849288,-0.9895788889650499,0.2381853309517168,1.0598474269009397,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
49.1062066,1.7767013747724032e+18,0.0,0.010649442672729492,1,yolo_car_dist,0.8141526970863343,0.003532032,0.6199999988079071,0.0,0.5124633820208946,0.08801873652655065,0.10753661678701254,-0.08801873652655065,0.15029348626740818,1.0663655050886538,0.619984498807937,0.0015499224970201455,1.5499999969192935e-05,-2.5357910508261203,0.30999999862899236,-0.001549922504769347,0.3100000001789163,-5.858567310334255,-1.4850563642572734,0.45351503198269316,-2.2316650328575633,0.15029348626740818,-0.5054399038286708,-1.6865696793152114,-0.017665508539359328,-0.9638948813912374,0.23831222279395883,1.0663655050886538,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
49.1144537,1.7767013747806502e+18,0.0,0.010770559310913086,1,yolo_car_dist,0.8141526970863343,0.011779072,0.6199999988079071,0.0,0.4989368909627383,0.09336054023999554,0.12106310784516883,-0.09336054023999554,0.1449516825539633,1.0663655050886538,0.619984498807937,0.0015499224970201455,1.5499999969192935e-05,-2.537304808416964,0.30999999862899236,-0.001549922504769347,0.3100000001789163,-5.863336777935545,-1.4935236213628178,0.44241192045776556,-2.2147603706459,0.1449516825539633,-0.5155500162049027,-1.6865696793152114,-0.017665508539359328,-0.9638948813912374,0.23831222279395883,1.0663655050886538,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
49.1251633,1.7767013747913597e+18,0.0,0.010180473327636719,1,yolo_car_dist,0.8141526970863343,0.022488576,0.6199999988079071,0.0,0.4938261094616209,0.09874395304957886,0.1261738893462862,-0.09874395304957886,0.13956826974437997,1.0663655050886538,0.619984498807937,0.0015499224970201455,1.5499999969192935e-05,-2.5420742760182535,0.30999999862899236,-0.001549922504769347,0.3100000001789163,-5.86814339651553,-1.4967178559974648,0.4382078418211634,-2.2028472569726283,0.13956826974437997,-0.5239906811892346,-1.6865696793152114,-0.017665508539359328,-0.9638948813912374,0.23831222279395883,1.0663655050886538,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
49.134857,1.7767013748010534e+18,0.0,0.010219335556030273,1,yolo_car_dist,0.8141526970863343,0.032182272,0.6199999988079071,0.0,0.49188887420878896,0.10335771877054112,0.12811112459911816,-0.10335771877054112,0.13495450402341772,1.0663655050886538,0.619984498807937,0.0015499224970201455,1.5499999969192935e-05,-2.5468808945982384,0.30999999862899236,-0.001549922504769347,0.3100000001789163,-5.87226283019496,-1.4979234656097091,0.43661113693668513,-2.1943340894000443,0.13495450402341772,-0.5313761539535354,-1.6865696793152114,-0.017665508539359328,-0.9638948813912374,0.23831222279395883,1.0663655050886538,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
49.1470351,1.7767013748132316e+18,0.0,0.011168718338012695,1,yolo_car_dist,0.8141526970863343,0.044360448,0.6199999988079071,0.0,0.49376142588160776,0.11055271433329403,0.12623857292629936,-0.11055271433329403,0.1296687532528965,1.046821405891054,0.619984498807937,0.0015499224970201455,1.5499999969192935e-05,-2.5510003282776688,0.30999999862899236,-0.001549922504769347,0.3100000001789163,-5.890942321381211,-1.4983958215416708,0.43597724906448815,-2.1879597897144585,0.1296687532528965,-0.5383425579062762,-1.6841450629791155,-0.02151325902726708,-0.9563370978339112,0.24022146758619053,1.046821405891054,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
49.1561421,1.7767013748223386e+18,0.0,0.011128425598144531,1,yolo_car_dist,0.8141526970863343,0.053467392,0.6199999988079071,0.0,0.49348631125849657,0.11440783406982752,0.12651368754941056,-0.11440783406982752,0.12581363351636302,1.046821405891054,0.619984498807937,0.0015499224970201455,1.5499999969192935e-05,-2.56967981946392,0.30999999862899236,-0.001549922504769347,0.3100000001789163,-5.894384392574545,-1.4985628038875445,0.4357481153637772,-2.1833194026680633,0.12581363351636302,-0.5441582541718456,-1.6841450629791155,-0.02151325902726708,-0.9563370978339112,0.24022146758619053,1.046821405891054,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
49.1673452,1.7767013748335416e+18,0.0,0.010697603225708008,1,yolo_car_dist,0.8114892377853394,0.0,0.6300000041723252,5.628411039964848e-12,0.4934203729994121,0.11931118065048218,0.13657963117291305,-0.11931118064485377,0.12091028693570835,1.046821405891054,0.6249842515025115,0.0015999200239658895,-0.0049842521317640665,-2.5195531178172548,0.31500000131120137,-0.001549922499140936,0.31500000229828423,-6.051762447150489,-1.4986011832860626,0.4356925296492641,-2.1800405060009957,0.12091028693570835,-0.5469355178282748,-1.6841450629791155,-0.02151325902726708,-0.9563370978339112,0.24022146758619053,1.046821405891054,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
49.1777257,1.7767013748439222e+18,0.0,0.010885953903198242,1,yolo_car_dist,0.8114892377853394,0.010380544,0.6300000041723252,5.628411039964848e-12,0.4934099083638291,0.12512305661271642,0.13659009580849607,-0.125123056607088,0.11509841097347412,1.046821405891054,0.6299842541847205,0.0015999200295943004,1.5749987603841387e-05,-2.676931172393199,0.31499987631738396,-0.0015749237624904364,0.3150001272921016,-6.020384375766234,-1.4986056696537242,0.43568305678908764,-2.176945712150424,0.11509841097347412,-0.5451379039781993,-1.6841450629791155,-0.02151325902726708,-0.9563370978339112,0.24022146758619053,1.046821405891054,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
49.1903743,1.776701374856571e+18,0.0,0.011130809783935547,1,yolo_car_dist,0.8114892377853394,0.023029248,0.6300000041723252,5.628411039964848e-12,0.4942984344883118,0.1354650881008201,0.13570156968401337,-0.1354650880951917,0.11077080848087517,1.0093633524555403,0.629984129190903,0.0015749187662448,1.5874981421193368e-05,-2.645553101008944,0.31500000130182665,-0.0015749206376137552,0.31500000230765896,-6.042072379483469,-1.4986018914760906,0.4356849182709086,-2.176066728653039,0.11077080848087517,-0.5388590168726601,-1.6832681023127127,-0.022822805669310362,-0.9479412748384618,0.24623589658169528,1.0093633524555403,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
49.2004983,1.776701374866695e+18,0.0,0.010633468627929688,1,yolo_car_dist,0.8114892377853394,0.03315328,0.6300000041723252,5.628411039964848e-12,0.4943344018384417,0.1390848701621666,0.13566560233388347,-0.1390848701565382,0.10715102641952867,1.0093633524555403,0.6299842541753458,0.0015749218911214813,1.5749996978564607e-05,-2.6672411047261786,0.3150000012955772,-0.0015749212627547073,0.3150000023139084,-6.04530606878427,-1.4985797524014186,0.4357147764851007,-2.1748777430506774,0.10715102641952867,-0.5290475072408432,-1.6832681023127127,-0.022822805669310362,-0.9479412748384618,0.24623589658169528,1.0093633524555403,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
